Type,Name,URL,RFID Code
Album,Leon,spotify:album:6mHNMtHrXIdUWWuZD9njsG,1
Album,God Said No,spotify:album:4zP3lXg6RHEiUDOtUkr5yh,2
Album,Private Blizzard,spotify:album:2QjELGScW9xUk3I2eu7nze,3
Album,Dinner Party: Dessert,spotify:album:6qqa1vvE1Q3qj2k8Gc3iEY,4
Album,Power of Soul,spotify:spotify:album:4blKLLF57DrHhUyxtaziZX,5
Album,Swimming,spotify:album:5wtE5aLX5r7jOosmPhJhhk,6
Album,Lustropolis,spotify:album:4mFLlS3vDHSxAtnLRMmOrq,7
Album,cloudy,spotify:album:07qAkNgFlbkUpIJzT3jtTf,8
Song,Trust,spotify:track:0oufSLnKQDoBFX5mgkDCgR,9
Song,X,A,10
Song,X,B,11
Song,X,C,12
Song,X,D,13
Song,X,E,14
Playlist,Sad boy,spotify:playlist:4bxmuqerxnnQvTLEipoptj,15
Playlist,Romanticize Your Life,spotify:playlist:15tU6z4kULHjznOe2piW8p,16
